Symbol: 0     | Word: NO             | Frequency: 1      | Code: 11011100  
Symbol: 1     | Word:                | Frequency: 110    | Code: 0         
Symbol: 2     | Word: DIA            | Frequency: 10     | Code: 1000      
Symbol: 3     | Word: A              | Frequency: 9      | Code: 11111     
Symbol: 4     | Word: O              | Frequency: 8      | Code: 11000     
Symbol: 5     | Word: SE             | Frequency: 5      | Code: 10010     
Symbol: 6     | Word: MOSTRA         | Frequency: 1      | Code: 11011101  
Symbol: 7     | Word: COMO           | Frequency: 4      | Code: 110010    
Symbol: 8     | Word: é             | Frequency: 5      | Code: 10011     
Symbol: 9     | Word: NãO           | Frequency: 3      | Code: 101001    
Symbol: 10    | Word: Há            | Frequency: 2      | Code: 1101010   
Symbol: 11    | Word: OUTRO          | Frequency: 1      | Code: 11011110  
Symbol: 12    | Word: JEITO          | Frequency: 1      | Code: 11011111  
Symbol: 13    | Word: DE             | Frequency: 3      | Code: 101010    
Symbol: 14    | Word: ENXERGAR       | Frequency: 1      | Code: 11100000  
Symbol: 15    | Word: ALéM          | Frequency: 3      | Code: 101011    
Symbol: 16    | Word: DO             | Frequency: 2      | Code: 1101011   
Symbol: 17    | Word: PRóPRIO       | Frequency: 1      | Code: 11100001  
Symbol: 18    | Word: POSSO          | Frequency: 4      | Code: 110011    
Symbol: 19    | Word: EXPLICAR       | Frequency: 1      | Code: 11100010  
Symbol: 20    | Word: SENãO         | Frequency: 2      | Code: 1101100   
Symbol: 21    | Word: VIVENDO-O      | Frequency: 1      | Code: 11100011  
Symbol: 22    | Word: TUDO           | Frequency: 4      | Code: 110100    
Symbol: 23    | Word: QUE            | Frequency: 7      | Code: 10110     
Symbol: 24    | Word: VEJO           | Frequency: 1      | Code: 11100100  
Symbol: 25    | Word: DIZER          | Frequency: 1      | Code: 11100101  
Symbol: 26    | Word: SOBRE          | Frequency: 2      | Code: 1101101   
Symbol: 27    | Word: PERCEBO        | Frequency: 1      | Code: 11100110  
Symbol: 28    | Word: PRESENTE       | Frequency: 1      | Code: 11100111  
Symbol: 29    | Word: VIDA           | Frequency: 7      | Code: 10111     
Symbol: 30    | Word: FLUI           | Frequency: 1      | Code: 11101000  
Symbol: 31    | Word: áGUA          | Frequency: 1      | Code: 11101001  
Symbol: 32    | Word: UM             | Frequency: 1      | Code: 11101010  
Symbol: 33    | Word: RIO            | Frequency: 1      | Code: 11101011  
Symbol: 34    | Word: OUTRA          | Frequency: 1      | Code: 11101100  
Symbol: 35    | Word: FORMA          | Frequency: 1      | Code: 11101101  
Symbol: 36    | Word: SEGUIR         | Frequency: 1      | Code: 11101110  
Symbol: 37    | Word: SER            | Frequency: 1      | Code: 11101111  
Symbol: 38    | Word: VIVENDO-A      | Frequency: 1      | Code: 11110000  
Symbol: 39    | Word: COMPREENDER    | Frequency: 1      | Code: 11110001  
Symbol: 40    | Word: VIVENDO        | Frequency: 1      | Code: 11110010  
Symbol: 41    | Word: EXPERIMENTO    | Frequency: 1      | Code: 11110011  
Symbol: 42    | Word: RELATAR        | Frequency: 1      | Code: 11110100  
Symbol: 43    | Word: DA             | Frequency: 1      | Code: 11110101  
Symbol: 44    | Word: PRóPRIA       | Frequency: 1      | Code: 11110110  
Symbol: 45    | Word: ABRAçO        | Frequency: 1      | Code: 11110111  
Symbol: 46    | Word: ME             | Frequency: 1      | Code: 1010000   
Symbol: 47    | Word: RODEIA         | Frequency: 1      | Code: 1010001   
